EHST0100,LM:2023/12/03 14:44:29:555,FD:00001,LD:00105,RC:00105,MC:05000,TO:00000,             
00001,00001,                                                                ,00000,0000,2023/11/21 15:46:17:308,000,00000,0000000000,0000000001,0010040400,   
00002,00502,                                                                ,00000,0000,2023/11/21 15:46:18:654,000,00000,0000000000,0000000000,0000000000,   
00003,01104,                                                                ,00000,0000,2023/11/21 15:46:20:251,000,00000,0000000000,0000000012,0000000000,   
00004,00120,                                                                ,00000,0000,2023/11/21 15:46:22:279,000,00000,0000000000,0000000001,0000000000,   
00005,00127,                                                                ,00000,0000,2023/11/21 15:46:22:859,000,00000,0000000000,0000000000,0000000000,   
00006,01104,                                                                ,00000,0000,2023/11/21 15:46:25:387,000,00000,0000000000,0000000016,0000000000,   
00007,01104,                                                                ,00000,0000,2023/11/21 15:46:38:235,000,00000,0000000000,0000000016,0000000000,   
00008,02000,                                                                ,00000,E3CF,2023/11/21 15:46:42:318,000,00000,0000000000,0000058319,0000000000,   
00009,00003,                                                                ,00000,0000,2023/11/21 15:47:10:264,000,00000,0000000000,0000000000,0000000000,   
00010,00001,                                                                ,00000,0000,2023/11/21 15:47:11:847,000,00000,0000000000,0000000001,0010040400,   
00011,01104,                                                                ,00000,0000,2023/11/21 15:47:14:949,000,00000,0000000000,0000000012,0000000000,   
00012,00120,                                                                ,00000,0000,2023/11/21 15:47:16:756,000,00000,0000000000,0000000001,0000000000,   
00013,00127,                                                                ,00000,0000,2023/11/21 15:47:18:291,000,00000,0000000000,0000000000,0000000000,   
00014,01104,                                                                ,00000,0000,2023/11/21 15:47:18:701,000,00000,0000000000,0000000016,0000000000,   
00015,00000,                                                                ,00000,0000,2023/11/21 15:47:19:056,000,00000,0000000000,0100663509,0000000000,   
00016,00126,                                                                ,00000,0000,2023/11/21 15:47:37:457,000,00000,0000000000,0000000000,0000000000,   
00017,00123,                                                                ,00000,0000,2023/11/21 15:47:37:457,000,00000,0000000000,0000000000,0000000000,   
00018,00003,                                                                ,00000,0000,2023/11/21 15:47:38:423,000,00000,0000000000,0000000000,0000000000,   
00019,00001,                                                                ,00000,0000,2023/11/21 15:47:39:769,000,00000,0000000000,0000000001,0010040400,   
00020,00120,                                                                ,00000,0000,2023/11/21 15:47:44:694,000,00000,0000000000,0000000001,0000000000,   
00021,00127,                                                                ,00000,0000,2023/11/21 15:47:46:202,000,00000,0000000000,0000000000,0000000000,   
00022,00000,                                                                ,00000,0000,2023/11/21 15:47:51:956,000,00000,0000000000,0100663509,0000000000,   
00023,02000,                                                                ,00000,E3CF,2023/11/21 15:47:53:804,000,00000,0000000000,0000058319,0000000000,   
00024,00126,                                                                ,00000,0000,2023/11/21 15:49:16:461,000,00000,0000000000,0000000000,0000000000,   
00025,00123,                                                                ,00000,0000,2023/11/21 15:49:16:463,000,00000,0000000000,0000000000,0000000000,   
00026,00003,                                                                ,00000,0000,2023/11/21 15:49:17:428,000,00000,0000000000,0000000000,0000000000,   
00027,00001,                                                                ,00000,0000,2023/11/28 06:10:53:290,000,00000,0000000000,0000000001,0010040400,   
00028,00120,                                                                ,00000,0000,2023/11/28 06:10:59:253,000,00000,0000000000,0000000001,0000000000,   
00029,00127,                                                                ,00000,0000,2023/11/28 06:11:01:064,000,00000,0000000000,0000000000,0000000000,   
00030,00000,                                                                ,00000,0000,2023/11/28 06:11:26:839,000,00000,0000000000,0100663509,0000000000,   
00031,02000,                                                                ,00000,E3CF,2023/11/28 06:11:29:600,000,00000,0000000000,0000058319,0000000000,   
00032,02230,test                                                            ,00015,E0D8,2023/11/28 06:26:11:287,001,00000,0000000001,0000000001,0000000000,   
00033,00126,                                                                ,00000,0000,2023/11/28 06:29:56:497,000,00000,0000000000,0000000000,0000000000,   
00034,00123,                                                                ,00000,0000,2023/11/28 06:29:56:499,000,00000,0000000000,0000000000,0000000000,   
00035,00003,                                                                ,00000,0000,2023/11/28 06:30:01:044,000,00000,0000000000,0000000000,0000000000,   
00036,00001,                                                                ,00000,0000,2023/11/28 06:30:12:187,000,00000,0000000000,0000000001,0010040400,   
00037,00120,                                                                ,00000,0000,2023/11/28 06:30:19:133,000,00000,0000000000,0000000001,0000000000,   
00038,00127,                                                                ,00000,0000,2023/11/28 06:31:10:473,000,00000,0000000000,0000000000,0000000000,   
00039,04010,test_Alignment_Block                                            ,00116,E0EC,2023/11/28 06:42:58:771,001,00000,0000000001,0000000020,0000000002,   
00040,04001,                                                                ,00000,E0EC,2023/11/28 07:01:50:399,001,00005,0000000000,0000000001,0000000000,   
00041,04001,                                                                ,00000,E0EC,2023/11/28 07:01:56:814,001,00005,0000000000,0000000001,0000000000,   
00042,02228,                                                                ,00000,E0EB,2023/11/28 07:02:01:057,001,00000,0000000000,0000000000,0000000000,   
00043,04001,                                                                ,00000,E0EC,2023/11/28 07:02:13:233,001,00005,0000000000,0000000001,0000000000,   
00044,02228,                                                                ,00000,E0EB,2023/11/28 07:02:29:334,001,00000,0000000000,0000000000,0000000000,   
00045,04001,                                                                ,00000,E0EC,2023/11/28 07:04:03:110,001,00005,0000000000,0000000001,0000000000,   
00046,00126,                                                                ,00000,0000,2023/11/28 07:15:08:244,000,00000,0000000000,0000000000,0000000000,   
00047,00123,                                                                ,00000,0000,2023/11/28 07:15:08:244,000,00000,0000000000,0000000000,0000000000,   
00048,00003,                                                                ,00000,0000,2023/11/28 07:15:12:784,000,00000,0000000000,0000000000,0000000000,   
00049,00001,                                                                ,00000,0000,2023/11/28 14:26:31:258,000,00000,0000000000,0000000001,0010040400,   
00050,00120,                                                                ,00000,0000,2023/11/28 14:26:37:288,000,00000,0000000000,0000000001,0000000000,   
00051,00127,                                                                ,00000,0000,2023/11/28 14:27:25:914,000,00000,0000000000,0000000000,0000000000,   
00052,04031,                                                                ,00000,E0EC,2023/11/28 14:27:46:853,001,00000,0000000000,0000000000,0000000000,   
00053,02200,TaskI_Alignment_Block                                           ,00121,E0EE,2023/11/28 14:58:31:070,001,00000,0000000001,0000000000,0000000000,   
00054,02200,TaskI_Pick_Infeed_Token                                         ,00049,E0EC,2023/11/28 15:01:34:462,001,00000,0000000001,0000000000,0000000000,   
00055,04000,                                                                ,00000,E0EC,2023/11/28 15:01:45:897,001,00000,0000000000,0000000000,0000000000,   
00056,02200,TaskI_Alignment_Token                                           ,00062,E0EE,2023/11/28 15:02:02:467,001,00000,0000000001,0000000000,0000000000,   
00057,02200,TaskI_Alignment_Token                                           ,00062,E0EE,2023/11/28 15:02:31:769,001,00000,0000000001,0000000000,0000000000,   
00058,00126,                                                                ,00000,0000,2023/11/28 15:03:50:631,000,00000,0000000000,0000000000,0000000000,   
00059,00123,                                                                ,00000,0000,2023/11/28 15:03:50:633,000,00000,0000000000,0000000000,0000000000,   
00060,00003,                                                                ,00000,0000,2023/11/28 15:03:55:145,000,00000,0000000000,0000000000,0000000000,   
00061,00001,                                                                ,00000,0000,2023/11/28 15:04:37:459,000,00000,0000000000,0000000001,0010040400,   
00062,00120,                                                                ,00000,0000,2023/11/28 15:04:43:393,000,00000,0000000000,0000000001,0000000000,   
00063,00127,                                                                ,00000,0000,2023/11/28 15:05:32:176,000,00000,0000000000,0000000000,0000000000,   
00064,04001,                                                                ,00000,E0EC,2023/11/28 15:15:50:580,001,00005,0000000000,0000000001,0000000000,   
00065,02300,                                                                ,00000,E0EC,2023/11/28 15:29:52:450,001,00000,0000000000,0000000000,0000000000,   
00066,00001,                                                                ,00000,0000,2023/11/28 15:31:34:081,000,00000,0000000000,0000000001,0010040400,   
